server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,port_seq
s112,4399_s4,10.6.3.31,data/xy/shengbei_s112_9112,shengbei_lianyun_s112,10.6.6.162,4399,3306,21214,42.62.50.144,running,1
s113,pps_s3,10.6.3.172,data/xy/shengbei_s113_9113,shengbei_lianyun_s113,10.6.7.140,pps,3306,21314,42.62.56.251,running,3
s114,360_s19,10.6.4.221,data/xy/shengbei_s114_9114,shengbei_lianyun_s114,10.6.6.246,360,3306,21414,42.62.26.173,running,1
s115,1377_s17,10.6.2.213,data/xy/shengbei_s115_9115,shengbei_lianyun_s115,10.6.8.220,1377,3306,21514,42.62.56.133,running,1
s116,smggame_s3,10.6.4.233,data/xy/shengbei_s116_9116,shengbei_lianyun_s116,10.6.5.160,smggame,3306,21614,42.62.56.33,running,3
s117,360_s20,10.6.4.221,data/xy/shengbei_s117_9117,shengbei_lianyun_s117,10.6.6.246,360,3306,21714,42.62.26.173,running,2
s118,37wanwan_s1,10.6.8.234,data/xy/shengbei_s118_9118,shengbei_lianyun_s118,10.6.1.83,37wanwan,3306,21814,42.62.50.149,running,1
s121,pptv_s5,10.6.8.97,data/xy/shengbei_s121_9121,shengbei_lianyun_s121,10.6.1.238,pptv,3306,22114,42.62.56.145,running,2
s123,360_s21,10.6.4.221,data/xy/shengbei_s123_9123,shengbei_lianyun_s123,10.6.6.246,360,3306,22314,42.62.26.173,running,3
s125,awo_s13,10.6.8.98,data/xy/shengbei_s125_9125,shengbei_lianyun_s125,10.6.3.24,awo,3306,22514,42.62.50.194,running,3
s126,360_s22,10.6.2.123,data/xy/shengbei_s126_9126,shengbei_lianyun_s126,10.6.6.246,360,3306,22614,42.62.56.162,running,1
s127,1377_s18,10.6.2.213,data/xy/shengbei_s127_9127,shengbei_lianyun_s127,10.6.8.220,1377,3306,22714,42.62.56.133,running,2
s129,8090_s3,10.6.6.218,data/xy/shengbei_s129_9129,shengbei_lianyun_s129,10.6.3.175,8090,3306,22914,42.62.50.108,running,3
s130,360_s23,10.6.2.123,data/xy/shengbei_s130_9130,shengbei_lianyun_s130,10.6.8.122,360,3306,23014,42.62.56.162,running,2
s132,91wan_s3,10.6.5.169,data/xy/shengbei_s132_9132,shengbei_lianyun_s132,10.6.5.191,91wan,3306,23214,42.62.3.179,running,3
s133,renren_s10,10.6.7.108,data/xy/shengbei_s133_9133,shengbei_lianyun_s133,10.6.3.95,renren,3306,23314,42.62.56.206,running,2
s134,8090_s4,10.6.5.25,data/xy/shengbei_s134_9134,shengbei_lianyun_s134,10.6.3.175,8090,3306,23414,42.62.56.193,running,1
s135,360_s24,10.6.2.123,data/xy/shengbei_s135_9135,shengbei_lianyun_s135,10.6.8.122,360,3306,23514,42.62.56.162,running,3
