server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,1
s23,1377_s10,10.6.6.10,data/xy/shengbei_s23_9023,shengbei_lianyun_s23,10.6.5.59,1377,3306,12314,42.62.56.209,running,1
s24,1377_s11,10.6.8.102,data/xy/shengbei_s24_9024,shengbei_lianyun_s24,10.6.5.59,1377,3306,12414,42.62.62.19,running,1
s26,1377_s12,10.6.8.234,data/xy/shengbei_s26_9026,shengbei_lianyun_s26,10.6.5.59,1377,3306,12614,42.62.50.149,running,2
s30,u17_s1,10.6.5.81,data/xy/shengbei_s30_9030,shengbei_lianyun_s30,10.6.5.59,u17,3306,13014,42.62.62.92,running,1
s42,awo_s3,10.6.5.114,data/xy/shengbei_s42_9042,shengbei_lianyun_s42,10.6.5.59,awo,3306,14214,42.62.14.88,running,1
s219,5577yx_s1,10.6.8.87,data/xy/shengbei_s219_9219,shengbei_lianyun_s219,10.6.5.59,5577yx,3306,31914,42.62.56.247,running,5
s220,dahei_s1,10.6.8.87,data/xy/shengbei_s220_9220,shengbei_lianyun_s220,10.6.5.59,dahei,3306,32014,42.62.56.247,running,6
s257,dahei_s2,10.6.8.87,data/xy/shengbei_s257_9257,shengbei_lianyun_s257,10.6.5.59,dahei,3306,32014,42.62.56.247,running,7
