server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,
s93,1377_s16,10.6.6.10,data/xy/shengbei_s93_9093,shengbei_lianyun_s93,10.6.8.220,1377,3306,19314,42.62.56.209,running,
s94,awo_s8,10.6.5.216,data/xy/shengbei_s94_9094,shengbei_lianyun_s94,10.6.3.24,awo,3306,19414,42.62.26.63,running,
s95,awo_s9,10.6.5.216,data/xy/shengbei_s95_9095,shengbei_lianyun_s95,10.6.3.24,awo,3306,19514,42.62.26.63,running,
s96,awo_s10,10.6.5.216,data/xy/shengbei_s96_9096,shengbei_lianyun_s96,10.6.3.24,awo,3306,19614,42.62.26.63,running,
s97,awo_s11,10.6.8.98,data/xy/shengbei_s97_9097,shengbei_lianyun_s97,10.6.3.24,awo,3306,19714,42.62.50.194,running,
s98,pptv_s3,10.6.8.243,data/xy/shengbei_s98_9098,shengbei_lianyun_s98,10.6.1.238,pptv,3306,19814,42.62.62.89,running,
s99,renren_s6,10.6.5.72,data/xy/shengbei_s99_9099,shengbei_lianyun_s99,10.6.3.95,renren,3306,19914,42.62.26.73,running,
s100,renren_s7,10.6.5.72,data/xy/shengbei_s100_9100,shengbei_lianyun_s100,10.6.3.95,renren,3306,20014,42.62.26.73,running,
s101,renren_s8,10.6.5.72,data/xy/shengbei_s101_9101,shengbei_lianyun_s101,10.6.3.95,renren,3306,20114,42.62.26.73,running,
s102,4399_s3,10.6.1.52,data/xy/shengbei_s102_9102,shengbei_lianyun_s102,10.6.6.162,4399,3306,20214,42.62.62.87,running,
s103,91wan_s2,10.6.5.169,data/xy/shengbei_s103_9103,shengbei_lianyun_s103,10.6.5.191,91wan,3306,20314,42.62.3.179,running,
s104,smggame_s2,10.6.4.233,data/xy/shengbei_s104_9104,shengbei_lianyun_s104,10.6.5.160,smggame,3306,20414,42.62.56.33,running,
s107,360_s17,10.6.8.87,data/xy/shengbei_s107_9107,shengbei_lianyun_s107,10.6.6.246,360,3306,20714,42.62.56.247,running,
s108,pptv_s4,10.6.8.97,data/xy/shengbei_s108_9108,shengbei_lianyun_s108,10.6.1.238,pptv,3306,20814,42.62.56.145,running,
s109,pps_s2,10.6.3.172,data/xy/shengbei_s109_9109,shengbei_lianyun_s109,10.6.7.140,pps,3306,20914,42.62.56.251,running,
s110,360_s18,10.6.8.87,data/xy/shengbei_s110_9110,shengbei_lianyun_s110,10.6.6.246,360,3306,21014,42.62.56.247,running,
s111,awo_s12,10.6.8.98,data/xy/shengbei_s111_9111,shengbei_lianyun_s111,10.6.3.24,awo,3306,21114,42.62.50.194,running,
s112,4399_s4,10.6.3.31,data/xy/shengbei_s112_9112,shengbei_lianyun_s112,10.6.6.162,4399,3306,21214,42.62.50.144,running,
s113,pps_s3,10.6.3.172,data/xy/shengbei_s113_9113,shengbei_lianyun_s113,10.6.7.140,pps,3306,21314,42.62.56.251,running,
s114,360_s19,10.6.4.221,data/xy/shengbei_s114_9114,shengbei_lianyun_s114,10.6.6.246,360,3306,21414,42.62.26.173,running,
s115,1377_s17,10.6.2.213,data/xy/shengbei_s115_9115,shengbei_lianyun_s115,10.6.8.220,1377,3306,21514,42.62.56.133,running,
s116,smggame_s3,10.6.4.233,data/xy/shengbei_s116_9116,shengbei_lianyun_s116,10.6.5.160,smggame,3306,21614,42.62.56.33,running,
s117,360_s20,10.6.4.221,data/xy/shengbei_s117_9117,shengbei_lianyun_s117,10.6.6.246,360,3306,21714,42.62.26.173,running,
s118,37wanwan_s1,10.6.8.234,data/xy/shengbei_s118_9118,shengbei_lianyun_s118,10.6.1.83,37wanwan,3306,21814,42.62.50.149,running,
s121,pptv_s5,10.6.8.97,data/xy/shengbei_s121_9121,shengbei_lianyun_s121,10.6.1.238,pptv,3306,22114,42.62.56.145,running,
s122,8090_s2,10.6.6.218,data/xy/shengbei_s122_9122,shengbei_lianyun_s122,10.6.3.175,8090,3306,22214,42.62.50.108,running,
s123,360_s21,10.6.4.221,data/xy/shengbei_s123_9123,shengbei_lianyun_s123,10.6.6.246,360,3306,22314,42.62.26.173,running,
s125,awo_s13,10.6.8.98,data/xy/shengbei_s125_9125,shengbei_lianyun_s125,10.6.3.24,awo,3306,22514,42.62.50.194,running,
s126,360_s22,10.6.2.123,data/xy/shengbei_s126_9126,shengbei_lianyun_s126,10.6.6.246,360,3306,22614,42.62.56.162,running,
s127,1377_s18,10.6.2.213,data/xy/shengbei_s127_9127,shengbei_lianyun_s127,10.6.8.220,1377,3306,22714,42.62.56.133,running,
s129,8090_s3,10.6.6.218,data/xy/shengbei_s129_9129,shengbei_lianyun_s129,10.6.3.175,8090,3306,22914,42.62.50.108,running,
s130,360_s23,10.6.2.123,data/xy/shengbei_s130_9130,shengbei_lianyun_s130,10.6.8.122,360,3306,23014,42.62.56.162,running,
s132,91wan_s3,10.6.5.169,data/xy/shengbei_s132_9132,shengbei_lianyun_s132,10.6.5.191,91wan,3306,23214,42.62.3.179,running,
s133,renren_s10,10.6.7.108,data/xy/shengbei_s133_9133,shengbei_lianyun_s133,10.6.3.95,renren,3306,23314,42.62.56.206,running,
s134,8090_s4,10.6.5.25,data/xy/shengbei_s134_9134,shengbei_lianyun_s134,10.6.3.175,8090,3306,23414,42.62.56.193,running,
s135,360_s24,10.6.2.123,data/xy/shengbei_s135_9135,shengbei_lianyun_s135,10.6.8.122,360,3306,23514,42.62.56.162,running,
s137,360_s25,10.6.1.44,data/xy/shengbei_s137_9137,shengbei_lianyun_s137,10.6.8.122,360,3306,23714,42.62.50.223,running,
s138,1377_s19,10.6.2.213,data/xy/shengbei_s138_9138,shengbei_lianyun_s138,10.6.8.220,1377,3306,23814,42.62.56.133,running,
s139,renren_s11,10.6.7.108,data/xy/shengbei_s139_9139,shengbei_lianyun_s139,10.6.3.95,renren,3306,23914,42.62.56.206,running,
s140,8090_s5,10.6.5.25,data/xy/shengbei_s140_9140,shengbei_lianyun_s140,10.6.3.175,8090,3306,24014,42.62.56.193,running,
s141,4399_s5,10.6.3.31,data/xy/shengbei_s141_9141,shengbei_lianyun_s141,10.6.6.162,4399,3306,24114,42.62.50.144,running,
s142,37wanwan_s2,10.6.8.234,data/xy/shengbei_s142_9142,shengbei_lianyun_s142,10.6.1.83,37wanwan,3306,24214,42.62.50.149,running,
s143,360_s26,10.6.1.44,data/xy/shengbei_s143_9143,shengbei_lianyun_s143,10.6.8.122,360,3306,24314,42.62.50.223,running,
s144,awo_s14,10.6.1.101,data/xy/shengbei_s144_9144,shengbei_lianyun_s144,10.6.3.24,awo,3306,24414,42.62.14.92,running,
s145,91wan_s4,10.6.5.114,data/xy/shengbei_s145_9145,shengbei_lianyun_s145,10.6.5.191,91wan,3306,24514,42.62.14.88,running,
s146,8090_s6,10.6.5.25,data/xy/shengbei_s146_9146,shengbei_lianyun_s146,10.6.3.175,8090,3306,24614,42.62.56.193,running,
