server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,1
s201,4game_s0,10.8.3.27,data/xy/shengbei_s201_9201,shengbei_lianyun_s201,10.8.12.88,4game,3306,30114,203.90.239.60,running,1
s202,4game_s1,10.8.3.27,data/xy/shengbei_s202_9202,shengbei_lianyun_s202,10.8.12.88,4game,3306,30214,203.90.239.60,running,2
s225,4game_s2,10.8.3.27,data/xy/shengbei_s225_9225,shengbei_lianyun_s225,10.8.12.88,4game,3306,32514,203.90.239.60,running,3
s226,4game_s3,10.8.3.27,data/xy/shengbei_s226_9226,shengbei_lianyun_s226,10.8.12.88,4game,3306,32614,203.90.239.60,running,4
