      9 42.62.14.88 10.6.5.114 42.62.26.73 10.6.5.72
      9 42.62.50.149 10.6.8.234 42.62.26.73 10.6.5.72
      9 42.62.50.223 10.6.1.44 42.62.56.206 10.6.7.108
      9 42.62.56.133 10.6.2.213 42.62.56.206 10.6.7.108
      9 42.62.56.193 10.6.5.25 42.62.56.206 10.6.7.108
     15 42.62.56.209 10.6.6.10 42.62.56.227	10.6.7.157
      5 42.62.56.214 10.6.7.234 42.62.56.227	10.6.7.157
      8 42.62.56.247 10.6.8.87 42.62.56.227	10.6.7.157
     10 42.62.56.33 10.6.4.233 42.62.56.250 10.6.1.121
     12 42.62.62.15 10.6.5.214 42.62.56.250 10.6.1.121
     13 42.62.62.16 10.6.3.139 42.62.62.19 10.6.8.102
      9 42.62.62.17 10.6.3.232 42.62.62.19 10.6.8.102
     12 42.62.62.80 10.6.7.170 42.62.62.86 10.6.7.173
      8 42.62.62.92 10.6.5.81 42.62.62.86 10.6.7.173
