server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,
s94,awo_s8,10.6.5.216,data/xy/shengbei_s94_9094,shengbei_lianyun_s94,10.6.3.24,awo,3306,19414,42.62.26.63,running,
s95,awo_s9,10.6.5.216,data/xy/shengbei_s95_9095,shengbei_lianyun_s95,10.6.3.24,awo,3306,19514,42.62.26.63,running,
s96,awo_s10,10.6.5.216,data/xy/shengbei_s96_9096,shengbei_lianyun_s96,10.6.3.24,awo,3306,19614,42.62.26.63,running,
s97,awo_s11,10.6.8.98,data/xy/shengbei_s97_9097,shengbei_lianyun_s97,10.6.3.24,awo,3306,19714,42.62.50.194,running,
s98,pptv_s3,10.6.8.243,data/xy/shengbei_s98_9098,shengbei_lianyun_s98,10.6.1.238,pptv,3306,19814,42.62.62.89,running,
s99,renren_s6,10.6.5.72,data/xy/shengbei_s99_9099,shengbei_lianyun_s99,10.6.3.95,renren,3306,19914,42.62.26.73,running,
s100,renren_s7,10.6.5.72,data/xy/shengbei_s100_9100,shengbei_lianyun_s100,10.6.3.95,renren,3306,20014,42.62.26.73,running,
s101,renren_s8,10.6.5.72,data/xy/shengbei_s101_9101,shengbei_lianyun_s101,10.6.3.95,renren,3306,20114,42.62.26.73,running,
s102,4399_s3,10.6.1.52,data/xy/shengbei_s102_9102,shengbei_lianyun_s102,10.6.6.162,4399,3306,20214,42.62.62.87,running,
s103,91wan_s2,10.6.5.169,data/xy/shengbei_s103_9103,shengbei_lianyun_s103,10.6.5.191,91wan,3306,20314,42.62.3.179,running,
s104,smggame_s2,10.6.4.233,data/xy/shengbei_s104_9104,shengbei_lianyun_s104,10.6.5.160,smggame,3306,20414,42.62.56.33,running,
s106,renren_s9,10.6.7.108,data/xy/shengbei_s106_9106,shengbei_lianyun_s106,10.6.3.95,renren,3306,20614,42.62.56.206,running,
s107,360_s17,10.6.8.87,data/xy/shengbei_s107_9107,shengbei_lianyun_s107,10.6.6.246,360,3306,20714,42.62.56.247,running,
s108,pptv_s4,10.6.8.97,data/xy/shengbei_s108_9108,shengbei_lianyun_s108,10.6.1.238,pptv,3306,20814,42.62.56.145,running,
s109,pps_s2,10.6.3.172,data/xy/shengbei_s109_9109,shengbei_lianyun_s109,10.6.7.140,pps,3306,20914,42.62.56.251,running,
s110,360_s18,10.6.8.87,data/xy/shengbei_s110_9110,shengbei_lianyun_s110,10.6.6.246,360,3306,21014,42.62.56.247,running,
