server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,01
s206,8090_s11,10.6.7.173,data/xy/shengbei_s206_9206,shengbei_lianyun_s206,10.6.8.122,8090,3306,30614,42.62.62.86,running,14
s208,360_s39,10.6.7.173,data/xy/shengbei_s208_9208,shengbei_lianyun_s208,10.6.8.122,360,3306,30814,42.62.62.86,running,15
s210,360_s40,10.6.7.173,data/xy/shengbei_s210_9210,shengbei_lianyun_s210,10.6.8.122,360,3306,31014,42.62.62.86,running,16
s218,0356wan_s1,10.6.1.121,data/xy/shengbei_s218_9218,shengbei_lianyun_s218,10.6.3.39,0356wan,3306,31814,42.62.56.250,running,16
s223,91wan_s10,10.6.5.72,data/xy/shengbei_s223_9223,shengbei_lianyun_s223,10.6.5.191,91wan,3306,32314,42.62.26.73,running,23
s224,360_s41,10.6.7.173,data/xy/shengbei_s224_9224,shengbei_lianyun_s224,10.6.8.122,360,3306,32414,42.62.62.86,running,18
s234,0356wan_s2,10.6.1.121,data/xy/shengbei_s234_9234,shengbei_lianyun_s234,10.6.3.39,0356wan,3306,33414,42.62.56.250,running,17
s259,91wan_s11,10.6.5.72,data/xy/shengbei_s259_9259,shengbei_lianyun_s259,10.6.5.191,91wan,3306,32314,42.62.26.73,running,24
s261,360_s42,10.6.7.173,data/xy/shengbei_s261_9261,shengbei_lianyun_s261,10.6.8.122,360,3306,32414,42.62.62.86,running,20
s263,0356wan_s3,10.6.8.102,data/xy/shengbei_s263_9263,shengbei_lianyun_s263,10.6.3.39,0356wan,3306,33414,42.62.62.19,running,15
s272,8090_s12,10.6.8.102,data/xy/shengbei_s272_9272,shengbei_lianyun_s272,10.6.8.122,8090,3306,30614,42.62.62.19,running,16
s273,zongheng_s4,10.6.1.121,data/xy/shengbei_s273_9273,shengbei_lianyun_s273,10.6.3.39,zongheng,3306,31714,42.62.56.250,running,18
s278,91wan_s12,10.6.1.121,data/xy/shengbei_s278_9278,shengbei_lianyun_s278,10.6.5.191,91wan,3306,32314,42.62.56.250,running,21
s279,360_s43,10.6.1.121,data/xy/shengbei_s279_9279,shengbei_lianyun_s279,10.6.8.122,360,3306,32414,42.62.56.250,running,22
s280,0356wan_s4,10.6.8.102,data/xy/shengbei_s280_9280,shengbei_lianyun_s280,10.6.3.39,0356wan,3306,33414,42.62.62.19,running,17
s283,8090_s13,10.6.7.157,data/xy/shengbei_s283_9283,shengbei_lianyun_s283,10.6.3.39,8090,3306,30614,42.62.56.227,running,15
s287,0356wan_s5,10.6.7.173,data/xy/shengbei_s287_9287,shengbei_lianyun_s287,10.6.3.39,0356wan,3306,33414,42.62.62.86,running,21
s294,0356wan_s6,10.6.7.173,data/xy/shengbei_s294_9294,shengbei_lianyun_s294,10.6.3.39,0356wan,3306,33414,42.62.62.86,running,22
s295,4399_s6,10.6.1.121,data/xy/shengbei_s295_9295,shengbei_lianyun_s295,10.6.8.122,4399,3306,24114,42.62.56.250,running,23
s297,360_s44,10.6.1.121,data/xy/shengbei_s297_9297,shengbei_lianyun_s297,10.6.8.122,360,3306,32414,42.62.56.250,running,24
s302,91wan_s13,10.6.1.121,data/xy/shengbei_s302_9302,shengbei_lianyun_s302,10.6.5.191,91wan,3306,32314,42.62.56.250,running,27
s312,91wan_s14,10.6.7.157,data/xy/shengbei_s312_9312,shengbei_lianyun_s312,10.6.5.191,91wan,3306,32314,42.62.56.227,running,18
s313,360_s45,10.6.1.121,data/xy/shengbei_s313_9313,shengbei_lianyun_s313,10.6.8.122,360,3306,32414,42.62.56.250,running,28
s317,0356wan_s7,10.6.7.173,data/xy/shengbei_s317_9317,shengbei_lianyun_s317,10.6.3.39,0356wan,3306,33414,42.62.62.86,running,23
